,ReportDt,Unit,Power,DocketNum
218,9/18/2023 12:00:00 AM,Farley 1,100,05000348
219,9/18/2023 12:00:00 AM,Farley 2,100,05000364
220,9/18/2023 12:00:00 AM,Fermi 2,100,05000341
221,9/18/2023 12:00:00 AM,FitzPatrick,100,05000333
222,9/18/2023 12:00:00 AM,Ginna,100,05000244
223,9/18/2023 12:00:00 AM,Grand Gulf 1,100,05000416
224,9/18/2023 12:00:00 AM,Harris 1,100,05000400
225,9/18/2023 12:00:00 AM,Hatch 1,100,05000321
226,9/18/2023 12:00:00 AM,Hatch 2,100,05000366
227,9/18/2023 12:00:00 AM,Hope Creek 1,100,05000354
228,9/18/2023 12:00:00 AM,LaSalle 1,100,05000373
229,9/18/2023 12:00:00 AM,LaSalle 2,100,05000374
230,9/18/2023 12:00:00 AM,Limerick 1,100,05000352
231,9/18/2023 12:00:00 AM,Limerick 2,100,05000353
232,9/18/2023 12:00:00 AM,McGuire 1,0,05000369
233,9/18/2023 12:00:00 AM,McGuire 2,100,05000370
234,9/18/2023 12:00:00 AM,Millstone 2,92,05000336
235,9/18/2023 12:00:00 AM,Millstone 3,100,05000423
236,9/18/2023 12:00:00 AM,Monticello,100,05000263
237,9/18/2023 12:00:00 AM,Nine Mile Point 1,100,05000220
238,9/18/2023 12:00:00 AM,Nine Mile Point 2,97,05000410
239,9/18/2023 12:00:00 AM,North Anna 1,100,05000338
240,9/18/2023 12:00:00 AM,North Anna 2,0,05000339
241,9/18/2023 12:00:00 AM,Oconee 1,100,05000269
242,9/18/2023 12:00:00 AM,Oconee 2,100,05000270
243,9/18/2023 12:00:00 AM,Oconee 3,100,05000287
244,9/18/2023 12:00:00 AM,Palo Verde 1,100,05000528
245,9/18/2023 12:00:00 AM,Palo Verde 2,100,05000529
246,9/18/2023 12:00:00 AM,Palo Verde 3,100,05000530
247,9/18/2023 12:00:00 AM,Peach Bottom 2,100,05000277
248,9/18/2023 12:00:00 AM,Peach Bottom 3,86,05000278
249,9/18/2023 12:00:00 AM,Perry 1,100,05000440
250,9/18/2023 12:00:00 AM,Point Beach 1,100,05000266
251,9/18/2023 12:00:00 AM,Point Beach 2,100,05000301
252,9/18/2023 12:00:00 AM,Prairie Island 1,100,05000282
253,9/18/2023 12:00:00 AM,Prairie Island 2,100,05000306
254,9/18/2023 12:00:00 AM,Quad Cities 1,100,05000254
255,9/18/2023 12:00:00 AM,Quad Cities 2,100,05000265
256,9/18/2023 12:00:00 AM,River Bend Station 1,100,05000458
257,9/18/2023 12:00:00 AM,Robinson 2,100,05000261
258,9/18/2023 12:00:00 AM,Saint Lucie 1,100,05000335
259,9/18/2023 12:00:00 AM,Saint Lucie 2,100,05000389
260,9/18/2023 12:00:00 AM,Salem 1,94,05000272
261,9/18/2023 12:00:00 AM,Salem 2,100,05000311
262,9/18/2023 12:00:00 AM,Seabrook 1,100,05000443
263,9/18/2023 12:00:00 AM,Sequoyah 1,100,05000327
264,9/18/2023 12:00:00 AM,Sequoyah 2,100,05000328
265,9/18/2023 12:00:00 AM,South Texas 1,100,05000498
266,9/18/2023 12:00:00 AM,South Texas 2,100,05000499
267,9/18/2023 12:00:00 AM,Summer,100,05000395
268,9/18/2023 12:00:00 AM,Surry 1,100,05000280
269,9/18/2023 12:00:00 AM,Surry 2,100,05000281
270,9/18/2023 12:00:00 AM,Susquehanna 1,100,05000387
271,9/18/2023 12:00:00 AM,Susquehanna 2,100,05000388
272,9/18/2023 12:00:00 AM,Turkey Point 3,100,05000250
273,9/18/2023 12:00:00 AM,Turkey Point 4,100,05000251
274,9/18/2023 12:00:00 AM,Vogtle 1,100,05000424
275,9/18/2023 12:00:00 AM,Vogtle 2,0,05000425
276,9/18/2023 12:00:00 AM,Vogtle 3,100,05200025
277,9/18/2023 12:00:00 AM,Vogtle 4,0,
278,9/18/2023 12:00:00 AM,Waterford 3,100,05000382
279,9/18/2023 12:00:00 AM,Watts Bar 1,100,05000390
280,9/18/2023 12:00:00 AM,Watts Bar 2,100,05000391
281,9/18/2023 12:00:00 AM,Wolf Creek 1,100,05000482
282,9/17/2023 12:00:00 AM,Arkansas Nuclear 1,100,05000313
283,9/17/2023 12:00:00 AM,Arkansas Nuclear 2,85,05000368
284,9/17/2023 12:00:00 AM,Beaver Valley 1,48,05000334
285,9/17/2023 12:00:00 AM,Beaver Valley 2,100,05000412
286,9/17/2023 12:00:00 AM,Braidwood 1,100,05000456
287,9/17/2023 12:00:00 AM,Braidwood 2,100,05000457
288,9/17/2023 12:00:00 AM,Browns Ferry 1,100,05000259
289,9/17/2023 12:00:00 AM,Browns Ferry 2,100,05000260
290,9/17/2023 12:00:00 AM,Browns Ferry 3,100,05000296
291,9/17/2023 12:00:00 AM,Brunswick 1,100,05000325
292,9/17/2023 12:00:00 AM,Brunswick 2,100,05000324
293,9/17/2023 12:00:00 AM,Byron 1,96,05000454
294,9/17/2023 12:00:00 AM,Byron 2,100,05000455
295,9/17/2023 12:00:00 AM,Callaway,100,05000483
296,9/17/2023 12:00:00 AM,Calvert Cliffs 1,100,05000317
297,9/17/2023 12:00:00 AM,Calvert Cliffs 2,100,05000318
298,9/17/2023 12:00:00 AM,Catawba 1,100,05000413
299,9/17/2023 12:00:00 AM,Catawba 2,100,05000414
300,9/17/2023 12:00:00 AM,Clinton,0,05000461
301,9/17/2023 12:00:00 AM,Columbia Generating Station,100,05000397
302,9/17/2023 12:00:00 AM,Comanche Peak 1,100,05000445
303,9/17/2023 12:00:00 AM,Comanche Peak 2,100,05000446
304,9/17/2023 12:00:00 AM,Cooper,100,05000298
305,9/17/2023 12:00:00 AM,D.C. Cook 1,100,05000315
306,9/17/2023 12:00:00 AM,D.C. Cook 2,100,05000316
307,9/17/2023 12:00:00 AM,Davis-Besse,100,05000346
308,9/17/2023 12:00:00 AM,Diablo Canyon 1,100,05000275
309,9/17/2023 12:00:00 AM,Diablo Canyon 2,100,05000323
310,9/17/2023 12:00:00 AM,Dresden 2,96,05000237
311,9/17/2023 12:00:00 AM,Dresden 3,100,05000249
312,9/17/2023 12:00:00 AM,Farley 1,100,05000348
313,9/17/2023 12:00:00 AM,Farley 2,100,05000364
314,9/17/2023 12:00:00 AM,Fermi 2,100,05000341
315,9/17/2023 12:00:00 AM,FitzPatrick,100,05000333
316,9/17/2023 12:00:00 AM,Ginna,100,05000244
317,9/17/2023 12:00:00 AM,Grand Gulf 1,100,05000416
318,9/17/2023 12:00:00 AM,Harris 1,100,05000400
319,9/17/2023 12:00:00 AM,Hatch 1,100,05000321
320,9/17/2023 12:00:00 AM,Hatch 2,100,05000366
321,9/17/2023 12:00:00 AM,Hope Creek 1,100,05000354
322,9/17/2023 12:00:00 AM,LaSalle 1,100,05000373
323,9/17/2023 12:00:00 AM,LaSalle 2,83,05000374
324,9/17/2023 12:00:00 AM,Limerick 1,100,05000352
325,9/17/2023 12:00:00 AM,Limerick 2,100,05000353
326,9/17/2023 12:00:00 AM,McGuire 1,0,05000369
327,9/17/2023 12:00:00 AM,McGuire 2,100,05000370
328,9/17/2023 12:00:00 AM,Millstone 2,90,05000336
329,9/17/2023 12:00:00 AM,Millstone 3,100,05000423
330,9/17/2023 12:00:00 AM,Monticello,100,05000263
331,9/17/2023 12:00:00 AM,Nine Mile Point 1,100,05000220
332,9/17/2023 12:00:00 AM,Nine Mile Point 2,97,05000410
333,9/17/2023 12:00:00 AM,North Anna 1,100,05000338
334,9/17/2023 12:00:00 AM,North Anna 2,0,05000339
335,9/17/2023 12:00:00 AM,Oconee 1,100,05000269
336,9/17/2023 12:00:00 AM,Oconee 2,100,05000270
337,9/17/2023 12:00:00 AM,Oconee 3,100,05000287
338,9/17/2023 12:00:00 AM,Palo Verde 1,100,05000528
339,9/17/2023 12:00:00 AM,Palo Verde 2,100,05000529
340,9/17/2023 12:00:00 AM,Palo Verde 3,100,05000530
341,9/17/2023 12:00:00 AM,Peach Bottom 2,100,05000277
342,9/17/2023 12:00:00 AM,Peach Bottom 3,87,05000278
343,9/17/2023 12:00:00 AM,Perry 1,100,05000440
344,9/17/2023 12:00:00 AM,Point Beach 1,100,05000266
345,9/17/2023 12:00:00 AM,Point Beach 2,100,05000301
346,9/17/2023 12:00:00 AM,Prairie Island 1,100,05000282
347,9/17/2023 12:00:00 AM,Prairie Island 2,100,05000306
348,9/17/2023 12:00:00 AM,Quad Cities 1,100,05000254
349,9/17/2023 12:00:00 AM,Quad Cities 2,100,05000265
350,9/17/2023 12:00:00 AM,River Bend Station 1,100,05000458
351,9/17/2023 12:00:00 AM,Robinson 2,100,05000261
352,9/17/2023 12:00:00 AM,Saint Lucie 1,100,05000335
353,9/17/2023 12:00:00 AM,Saint Lucie 2,100,05000389
354,9/17/2023 12:00:00 AM,Salem 1,94,05000272
355,9/17/2023 12:00:00 AM,Salem 2,100,05000311
356,9/17/2023 12:00:00 AM,Seabrook 1,100,05000443
357,9/17/2023 12:00:00 AM,Sequoyah 1,100,05000327
358,9/17/2023 12:00:00 AM,Sequoyah 2,100,05000328
359,9/17/2023 12:00:00 AM,South Texas 1,100,05000498
360,9/17/2023 12:00:00 AM,South Texas 2,100,05000499
361,9/17/2023 12:00:00 AM,Summer,100,05000395
362,9/17/2023 12:00:00 AM,Surry 1,100,05000280
363,9/17/2023 12:00:00 AM,Surry 2,100,05000281
364,9/17/2023 12:00:00 AM,Susquehanna 1,95,05000387
365,9/17/2023 12:00:00 AM,Susquehanna 2,100,05000388
366,9/17/2023 12:00:00 AM,Turkey Point 3,100,05000250
367,9/17/2023 12:00:00 AM,Turkey Point 4,100,05000251
368,9/17/2023 12:00:00 AM,Vogtle 1,100,05000424
